deviceTime,aCoord[x],aCoord[y],aCoord[z],gCoord[x],gCoord[y],gCoord[z],altPress,altMax,count,isOn
104827,-0.001788122,-0.994967045,-0.08196938,0.061819813,-0.102986317,0.04604259,-0.094023552,0.021445418,0,0
104833,-0.002764685,-0.994478764,-0.084899067,0.031302235,-0.164021474,0.076560168,-0.094023552,0.021445418,0,0
104838,-0.003252966,-0.995455327,-0.08978188,0.000784657,-0.164021474,-0.045510144,-0.094023552,0.021445418,0,0
104843,-0.003252966,-0.99692017,-0.089293599,0.092337392,-0.072468739,-0.076027723,-0.241989942,0.021445418,0,0
104856,-0.002276404,-0.994967045,-0.087340474,0.061819813,0.26322462,-0.014992566,-0.241989942,0.021445418,0,0
104861,0.000165003,-0.996431889,-0.090758442,-0.029732921,0.293742198,-0.045510144,-0.241989942,0.021445418,0,0
104866,-0.000323279,-0.996431889,-0.088317036,-0.029732921,0.293742198,-0.106545301,-0.241989942,0.021445418,0,0
104871,-0.000323279,-0.996431889,-0.088317036,-0.060250499,0.26322462,-0.137062879,-0.241989942,0.021445418,0,0
104876,0.001141565,-0.995943608,-0.088317036,-0.060250499,0.26322462,-0.106545301,-0.241989942,0.021445418,0,0
104894,0.000653284,-0.997896733,-0.084410786,-0.029732921,0.110636729,0.015525012,0.011668358,0.021445418,0,0
104908,-0.000323279,-0.997408452,-0.087340474,0.12285497,-0.041951161,-0.076027723,0.011668358,0.021445418,0,0
104913,-0.000323279,-0.99692017,-0.088317036,0.061819813,-0.102986317,-0.045510144,0.043376118,0.021445418,0,0
104927,-0.003741247,-0.995943608,-0.088317036,-0.029732921,0.080119151,0.015525012,0.098862798,0.021445418,0,0
104944,-0.000323279,-0.99692017,-0.090270161,0.061819813,-0.133503896,-0.106545301,0.098862798,0.021445418,0,0
104949,0.001629846,-0.994967045,-0.088317036,0.000784657,-0.072468739,-0.045510144,0.098862798,0.021445418,0,0
104954,0.003582971,-0.996431889,-0.088317036,-0.090768077,-0.102986317,-0.137062879,-0.302761882,0.021445418,0,0
104968,0.002606409,-0.996431889,-0.084899067,0.000784657,-0.133503896,-0.045510144,-0.302761882,0.021445418,0,0
104973,0.001629846,-0.995455327,-0.083434224,0.031302235,-0.194539052,-0.045510144,-0.302761882,0.021445418,0,0
104978,0.001629846,-0.996431889,-0.080992817,0.061819813,-0.133503896,-0.014992566,-0.302761882,0.021445418,0,0
104983,0.000165003,-0.997408452,-0.081481099,0.092337392,-0.102986317,0.015525012,-0.302761882,0.021445418,0,0
104988,0.001629846,-0.997408452,-0.083922505,0.092337392,-0.133503896,0.015525012,-0.244631622,0.021445418,0,0
105005,-0.001299841,-0.993990483,-0.08978188,0.061819813,-0.011433583,-0.045510144,-0.244631622,0.021445418,0,0
105010,-0.001299841,-0.997896733,-0.091246724,0.031302235,0.080119151,-0.014992566,-0.244631622,0.021445418,0,0
105015,-0.00081156,-0.99692017,-0.088317036,0.000784657,0.110636729,0.076560168,-0.244631622,0.021445418,0,0
105020,-0.001788122,-0.995943608,-0.08978188,0.031302235,0.110636729,0.076560168,-0.244631622,0.021445418,0,0
105025,-0.001299841,-0.994967045,-0.089293599,-0.090768077,0.049601573,-0.014992566,0.069798618,0.021445418,0,0
105039,-0.00081156,-0.995455327,-0.084899067,-0.060250499,0.26322462,0.04604259,0.069798618,0.021445418,0,0
105044,-0.001299841,-0.995455327,-0.08587563,0.000784657,0.26322462,-0.106545301,0.069798618,0.021445418,0,0
105049,-0.001299841,-0.996431889,-0.083434224,0.031302235,0.171671886,-0.106545301,0.069798618,0.021445418,0,0
105067,0.002118128,-0.998385014,-0.087828755,0.000784657,0.202189464,-0.106545301,-0.165364122,0.021445418,0,0
