deviceTime,aCoord[x],aCoord[y],aCoord[z],gCoord[x],gCoord[y],gCoord[z],temperature,pressure,altPress,altMax,count,isOn
4704,-0.03369140625,1.0107421875,0.0703125,1.3427734375,-1.8310546875,-0.54931640625,24.456436157226562,0.003909200339879154,65.42005920410156,65.65205383300781,0,0
4709,-0.03466796875,1.0078125,0.07177734375,1.251220703125,-1.89208984375,-0.54931640625,24.438465118408203,0.003923952039274924,65.42005920410156,65.65205383300781,0,0
4714,-0.0322265625,1.0087890625,0.07373046875,1.28173828125,-1.8310546875,-0.48828125,24.444454193115234,0.003909200339879154,65.42005920410156,65.65205383300781,0,0
4719,-0.03515625,1.00830078125,0.07373046875,1.251220703125,-1.77001953125,-0.42724609375,24.444454193115234,0.003909200339879154,65.42005920410156,65.65205383300781,0,0
4724,-0.033203125,1.00830078125,0.0732421875,1.220703125,-1.739501953125,-0.518798828125,24.462425231933594,0.003923952039274924,65.42005920410156,65.65205383300781,0,0
4728,-0.03369140625,1.0078125,0.07470703125,1.40380859375,-1.800537109375,-0.396728515625,24.471410751342773,0.003909200339879154,65.42005920410156,65.65205383300781,0,0
4733,-0.0341796875,1.0087890625,0.07421875,1.312255859375,-1.800537109375,-0.335693359375,24.459430694580078,0.003909200339879154,65.42005920410156,65.65205383300781,0,0
4739,-0.03271484375,1.00830078125,0.0703125,1.40380859375,-1.861572265625,-0.42724609375,24.453439712524414,0.003909200339879154,65.42005920410156,65.65205383300781,0,0
4744,-0.03271484375,1.00927734375,0.07080078125,1.373291015625,-1.739501953125,-0.48828125,24.477401733398438,0.003909200339879154,65.42005920410156,65.65205383300781,0,0
4750,-0.03271484375,1.0087890625,0.0712890625,1.312255859375,-1.77001953125,-0.396728515625,24.468416213989258,0.003909200339879154,65.42005920410156,65.65205383300781,0,0
4755,-0.03271484375,1.0068359375,0.07275390625,1.220703125,-1.8310546875,-0.396728515625,24.471410751342773,0.003909200339879154,65.42005920410156,65.65205383300781,0,0
4760,-0.03369140625,1.00830078125,0.0693359375,1.220703125,-1.861572265625,-0.396728515625,24.462425231933594,0.003909200339879154,65.42005920410156,65.65205383300781,0,0
4765,-0.03271484375,1.009765625,0.07080078125,1.251220703125,-1.800537109375,-0.457763671875,24.456436157226562,0.003909200339879154,65.43327331542969,65.65205383300781,0,0
4770,-0.0322265625,1.00830078125,0.07373046875,1.28173828125,-1.64794921875,-0.48828125,24.459430694580078,0.003909200339879154,65.562744140625,65.65205383300781,0,0
4774,-0.0322265625,1.00927734375,0.07275390625,1.28173828125,-1.739501953125,-0.42724609375,24.44744873046875,0.003909200339879154,65.562744140625,65.65205383300781,0,0
4780,-0.033203125,1.00927734375,0.07275390625,1.251220703125,-1.739501953125,-0.48828125,24.444454193115234,0.003909200339879154,65.562744140625,65.65205383300781,0,0
