deviceTime,aCoord[x],aCoord[y],aCoord[z],gCoord[x],gCoord[y],gCoord[z],altPress,altMax,state
8017,0.091308594,0.049804688,1.33203125,-2.532958984,-0.244140625,2.9296875,-117.4966354,-117.1692657,0
8023,0.090332031,0.047851563,1.331054688,-2.532958984,-0.183105469,2.899169922,-117.4966354,-117.1692657,0
8028,0.087402344,0.048828125,1.330566406,-2.532958984,-0.152587891,2.838134766,-117.454361,-117.1692657,0
8045,0.0859375,0.049804688,1.333007813,-2.563476563,-0.213623047,2.868652344,-117.454361,-117.1692657,0
8050,0.087402344,0.048339844,1.333007813,-2.563476563,-0.183105469,2.868652344,-117.454361,-117.1692657,0
8055,0.084960938,0.047851563,1.331054688,-2.593994141,-0.122070313,2.807617188,-117.454361,-117.1692657,0
8060,0.084960938,0.048828125,1.329101563,-2.502441406,-0.213623047,2.746582031,-117.3169632,-117.1692657,0
8075,0.086914063,0.049316406,1.331542969,-2.593994141,-0.183105469,2.685546875,-117.3169632,-117.1692657,0
8080,0.087890625,0.049804688,1.336425781,-2.593994141,-0.152587891,2.593994141,-117.3169632,-117.1692657,0
8085,0.088867188,0.050292969,1.332519531,-2.593994141,-0.152587891,2.593994141,-117.3169632,-117.1692657,0
8090,0.090332031,0.050292969,1.333007813,-2.532958984,-0.183105469,2.563476563,-117.3169632,-117.1692657,0
8102,0.091308594,0.050292969,1.329101563,-2.563476563,-0.183105469,2.502441406,-117.454361,-117.1692657,0
8117,0.08984375,0.052734375,1.330566406,-2.655029297,-0.152587891,2.380371094,-117.454361,-117.1692657,0
8122,0.088867188,0.050292969,1.330566406,-2.563476563,-0.213623047,2.410888672,-117.454361,-117.1692657,0
8127,0.087890625,0.050292969,1.330566406,-2.563476563,-0.091552734,2.471923828,-117.454361,-117.1692657,0
8138,0.087890625,0.049804688,1.330078125,-2.624511719,-0.213623047,2.471923828,-117.1689911,-117.1692657,0
8153,0.0859375,0.049804688,1.331542969,-2.655029297,-0.152587891,2.746582031,-117.1689911,-117.1692657,0
8158,0.087402344,0.051269531,1.328613281,-2.655029297,-0.091552734,2.807617188,-117.1689911,-117.1692657,0
