deviceTime,axmod,aymod,azmod,gxmod,gymod,gzmod,apmod,aMmod,count,isOn
16957,0.089133554,-0.002794263,0.994668348,-0.026955215,0.05391043,-0.041679649,0.060651438,0.356588028,0,1
16962,0.091086679,-0.002794263,0.996133192,-0.057472793,0.023392852,-0.041679649,0.060651438,0.356588028,0,1
16969,0.090598397,-0.003770826,0.992715223,0.034079941,0.084428008,-0.163749962,0.060651438,0.356588028,0,1
16974,0.089133554,-0.003282545,0.993691786,0.003562363,0.114945586,-0.163749962,0.060651438,0.356588028,0,1
16979,0.089621835,-0.002794263,0.995644911,-0.087990371,0.114945586,-0.011162071,0.060651438,0.356588028,0,1
16984,0.089133554,-0.004259107,0.995644911,-0.087990371,0.114945586,-0.011162071,0.060651438,0.356588028,0,1
16990,0.088156991,-0.003770826,0.995644911,0.095115098,0.084428008,0.049873085,-0.129587512,0.356588028,0,1
16995,0.088645272,-0.004747388,0.992715223,0.125632676,0.084428008,0.019355507,-0.129587512,0.356588028,0,1
17000,0.087180429,-0.003282545,0.999062879,0.156150254,0.114945586,-0.072197228,-0.129587512,0.356588028,0,1
17005,0.088156991,-0.002794263,0.997598036,0.064597519,0.114945586,-0.041679649,-0.129587512,0.356588028,0,1
17012,0.084739022,-0.000841138,0.997598036,0.064597519,0.05391043,-0.011162071,-0.129587512,0.356588028,0,1
17017,0.084739022,0.000135424,0.995644911,0.156150254,0.023392852,-0.011162071,-0.129587512,0.356588028,0,1
17022,0.085227304,0.001600268,0.993203504,0.125632676,-0.09867746,-0.102714806,-0.129587512,0.356588028,0,1
17027,0.083274179,0.001600268,0.995644911,0.186667832,-0.09867746,-0.133232384,-0.156015732,0.356588028,0,1
17033,0.08766871,0.000623705,0.998574598,0.034079941,0.084428008,0.049873085,-0.156015732,0.356588028,0,1
17038,0.088645272,0.002088549,0.997109754,0.156150254,0.023392852,-0.102714806,-0.156015732,0.356588028,0,1
17043,0.090110116,0.002088549,0.995644911,0.156150254,-0.068159882,-0.011162071,-0.156015732,0.356588028,0,1
17048,0.090598397,0.002088549,0.992715223,0.034079941,-0.007124726,-0.133232384,-0.156015732,0.356588028,0,1
17069,0.09157496,0.003553393,0.995644911,0.034079941,0.05391043,-0.102714806,0.060651438,0.356588028,0,1
17074,0.088645272,0.003065112,0.995156629,0.095115098,0.05391043,-0.072197228,0.060651438,0.356588028,0,1
17079,0.089133554,0.003065112,0.994668348,0.064597519,0.05391043,-0.041679649,0.060651438,0.356588028,0,1
17084,0.088156991,0.00257683,0.998574598,0.064597519,0.084428008,-0.041679649,0.060651438,0.356588028,0,1
17094,0.089133554,0.007947924,0.994668348,0.095115098,-0.037642304,-0.041679649,0.060651438,0.356588028,0,1
17099,0.087180429,0.005994799,0.992715223,0.064597519,-0.129195039,0.019355507,-0.169222212,0.356588028,0,1
17104,0.08766871,0.006971362,0.994180067,0.034079941,-0.09867746,-0.011162071,-0.169222212,0.356588028,0,1
17110,0.088645272,0.006971362,0.996133192,-0.087990371,-0.129195039,-0.102714806,-0.169222212,0.356588028,0,1
17115,0.087180429,0.00648308,0.995156629,-0.118507949,-0.09867746,-0.011162071,-0.169222212,0.356588028,0,1
17120,0.086203866,0.005506518,0.997109754,-0.179543106,-0.007124726,-0.011162071,-0.169222212,0.356588028,0,1
17125,0.090110116,0.003553393,0.997109754,-0.118507949,-0.037642304,-0.041679649,-0.169222212,0.356588028,0,1
17130,0.089621835,0.005994799,0.997109754,-0.118507949,-0.068159882,-0.072197228,-0.169222212,0.356588028,0,1
17135,0.08766871,0.005018237,0.995644911,-0.149025528,-0.037642304,-0.072197228,-0.013330792,0.356588028,0,1
17140,0.08766871,0.005018237,0.995644911,-0.149025528,-0.068159882,-0.011162071,-0.013330792,0.356588028,0,1
17145,0.090110116,0.00257683,0.996621473,-0.087990371,-0.068159882,0.049873085,-0.013330792,0.356588028,0,1
17150,0.086692147,0.002088549,0.997598036,-0.118507949,-0.068159882,0.019355507,-0.013330792,0.356588028,0,1
17158,0.084250741,-0.000352857,0.995156629,-0.179543106,0.084428008,-0.011162071,-0.013330792,0.356588028,0,1
17163,0.085715585,-0.00132942,0.996621473,-0.118507949,0.084428008,0.080390663,-0.013330792,0.356588028,0,1
17168,0.087180429,-0.000841138,0.997598036,-0.057472793,0.05391043,0.141425819,0.076505328,0.356588028,0,1
17173,0.08766871,0.001111987,0.995156629,-0.118507949,-0.037642304,0.049873085,-0.052965502,0.356588028,0,1
17193,0.089621835,0.001600268,0.996621473,-0.087990371,0.023392852,0.019355507,-0.052965502,0.356588028,0,1
17198,0.088645272,0.001111987,0.994668348,-0.057472793,0.023392852,0.171943397,-0.052965502,0.356588028,0,1
17203,0.087180429,0.001111987,0.996133192,0.034079941,-0.037642304,0.171943397,-0.052965502,0.356588028,0,1
17208,0.08766871,0.000135424,0.995156629,-0.057472793,0.05391043,0.202460976,-0.153368332,0.356588028,0,1
17218,0.088156991,-0.002305982,0.997598036,0.003562363,0.023392852,0.141425819,-0.153368332,0.356588028,0,1
17223,0.088156991,-0.00523567,0.996133192,0.003562363,0.114945586,0.019355507,-0.153368332,0.356588028,0,1
17228,0.088645272,-0.004747388,0.995644911,0.034079941,-0.068159882,0.019355507,-0.153368332,0.356588028,0,1
17233,0.088156991,-0.004747388,0.997109754,0.003562363,-0.037642304,0.019355507,-0.153368332,0.356588028,0,1
17239,0.088156991,-0.005723951,0.997598036,-0.026955215,-0.068159882,0.019355507,-0.153368332,0.356588028,0,1
17244,0.089621835,-0.007677076,0.997598036,-0.026955215,-0.037642304,0.019355507,-0.150728562,0.356588028,0,1
17249,0.08766871,-0.003770826,0.998086317,-0.026955215,-0.037642304,0.080390663,-0.150728562,0.356588028,0,1
17254,0.088645272,-0.001817701,0.999062879,0.034079941,-0.068159882,0.049873085,-0.150728562,0.356588028,0,1
17259,0.089621835,-0.00132942,0.999551161,0.003562363,-0.037642304,-0.011162071,-0.150728562,0.356588028,0,1
17264,0.088156991,-0.000841138,0.994180067,0.095115098,-0.068159882,-0.011162071,-0.150728562,0.356588028,0,1
17269,0.089621835,0.001111987,0.995156629,0.125632676,-0.09867746,-0.072197228,-0.150728562,0.356588028,0,1
17274,0.08766871,0.004529955,0.994668348,0.186667832,-0.068159882,-0.102714806,-0.150728562,0.356588028,0,1
17282,0.086692147,0.005018237,0.995156629,0.064597519,-0.007124726,-0.133232384,-0.195650442,0.356588028,0,1
17287,0.088156991,0.003553393,0.997598036,0.034079941,-0.068159882,-0.072197228,-0.195650442,0.356588028,0,1
17292,0.08766871,0.002088549,0.995644911,0.064597519,0.023392852,-0.041679649,-0.195650442,0.356588028,0,1
17297,0.08766871,0.001600268,0.993203504,0.003562363,-0.09867746,-0.072197228,-0.195650442,0.356588028,0,1
17317,0.088156991,0.000623705,0.994180067,0.064597519,-0.007124726,-0.072197228,-0.190363272,0.356588028,0,1
17323,0.089621835,0.002088549,0.993203504,0.095115098,0.05391043,-0.041679649,-0.190363272,0.356588028,0,1
17328,0.090598397,0.00257683,0.992226942,0.034079941,0.084428008,0.049873085,-0.190363272,0.356588028,0,1
17333,0.08766871,0.003553393,0.993691786,-0.026955215,-0.037642304,0.019355507,-0.190363272,0.356588028,0,1
17340,0.088645272,0.00257683,0.996621473,0.003562363,-0.007124726,0.080390663,-0.190363272,0.356588028,0,1
17345,0.089133554,0.003553393,0.996133192,0.064597519,0.023392852,0.019355507,-0.190363272,0.356588028,0,1
17350,0.08766871,0.005018237,0.995156629,0.034079941,-0.037642304,0.049873085,-0.045038562,0.356588028,0,1
17355,0.088645272,0.00648308,0.995644911,-0.026955215,-0.037642304,0.080390663,-0.045038562,0.356588028,0,1
17362,0.086203866,0.006971362,0.994668348,0.034079941,0.023392852,0.049873085,-0.045038562,0.356588028,0,1
17368,0.086203866,0.00648308,0.995156629,-0.057472793,0.023392852,-0.072197228,-0.045038562,0.356588028,0,1
17373,0.08766871,0.007459643,0.998086317,-0.057472793,0.023392852,-0.011162071,-0.045038562,0.356588028,0,1
17378,0.087180429,0.008436205,1.000527723,-0.026955215,-0.007124726,-0.041679649,-0.045038562,0.356588028,0,1
17383,0.086692147,0.00648308,0.998086317,-0.057472793,-0.068159882,-0.041679649,0.005162858,0.356588028,0,1
17388,0.086692147,0.005506518,0.998574598,-0.026955215,-0.007124726,-0.133232384,0.005162858,0.356588028,0,1
17393,0.086692147,0.004041674,0.995644911,-0.118507949,-0.037642304,0.019355507,0.005162858,0.356588028,0,1
17398,0.085715585,0.000623705,0.996133192,-0.087990371,0.023392852,-0.041679649,0.005162858,0.356588028,0,1
17403,0.086203866,0.00257683,0.997598036,-0.118507949,0.023392852,-0.011162071,0.005162858,0.356588028,0,1
17409,0.085715585,0.003065112,0.997109754,-0.087990371,-0.09867746,0.110908241,0.005162858,0.356588028,0,1
17414,0.088156991,0.000623705,0.998574598,-0.026955215,-0.037642304,-0.011162071,0.005162858,0.356588028,0,1
17419,0.088156991,0.001600268,0.996133192,-0.118507949,-0.068159882,-0.011162071,-0.015970572,0.356588028,0,1
17441,0.088156991,-0.000841138,0.997109754,-0.118507949,-0.007124726,-0.041679649,-0.015970572,0.356588028,0,1
17446,0.085715585,0.000623705,0.996621473,-0.179543106,0.023392852,0.080390663,-0.015970572,0.356588028,0,1
17451,0.08376246,0.001600268,0.995156629,-0.118507949,0.023392852,0.110908241,-0.015970572,0.356588028,0,1
17456,0.083274179,0.001111987,0.996621473,-0.087990371,-0.037642304,0.141425819,-0.179796552,0.356588028,0,1
17464,0.085715585,-0.000841138,0.996621473,-0.026955215,0.023392852,0.141425819,-0.179796552,0.356588028,0,1
17469,0.089133554,-0.001817701,0.994180067,-0.087990371,-0.09867746,0.141425819,-0.179796552,0.356588028,0,1
17474,0.090110116,-0.003282545,0.994180067,-0.026955215,-0.037642304,0.110908241,-0.179796552,0.356588028,0,1
17479,0.090110116,-0.002794263,0.994668348,-0.026955215,-0.007124726,-0.011162071,-0.179796552,0.356588028,0,1
17484,0.089133554,-0.004259107,0.996621473,0.003562363,0.05391043,-0.041679649,-0.179796552,0.356588028,0,1
17489,0.090110116,-0.005723951,0.997109754,0.003562363,0.05391043,-0.041679649,-0.179796552,0.356588028,0,1
17494,0.089133554,-0.004747388,0.994180067,0.003562363,-0.007124726,-0.102714806,0.073865558,0.356588028,0,1
17499,0.089133554,-0.003282545,0.995644911,0.003562363,0.05391043,-0.072197228,0.073865558,0.356588028,0,1
17507,0.089621835,-0.000352857,0.994180067,0.095115098,0.05391043,-0.041679649,0.073865558,0.356588028,0,1
17512,0.090110116,-0.001817701,0.996133192,0.064597519,0.05391043,-0.072197228,0.073865558,0.356588028,0,1
17517,0.088645272,-0.001817701,0.998086317,0.034079941,-0.007124726,-0.011162071,0.073865558,0.356588028,0,1
17522,0.088645272,-0.001817701,0.996621473,0.034079941,-0.007124726,0.019355507,0.073865558,0.356588028,0,1
17527,0.08766871,-0.00132942,0.997109754,0.125632676,-0.037642304,-0.041679649,0.237683908,0.356588028,0,1
17532,0.086203866,-0.000841138,0.997109754,0.064597519,0.023392852,-0.041679649,0.237683908,0.356588028,0,1
17537,0.085715585,-0.000352857,1.000039442,0.186667832,-0.007124726,-0.041679649,0.237683908,0.356588028,0,1
17542,0.087180429,0.001111987,0.996133192,0.064597519,-0.007124726,-0.072197228,0.237683908,0.356588028,0,1
17562,0.08766871,0.003553393,0.996621473,0.186667832,-0.007124726,-0.133232384,0.237683908,0.356588028,0,1
17567,0.090598397,0.004041674,0.996621473,0.186667832,0.023392852,-0.072197228,0.237683908,0.356588028,0,1
17572,0.089133554,0.003553393,0.994180067,0.125632676,-0.007124726,-0.19426754,0.237683908,0.356588028,0,1
17577,0.090110116,0.003065112,0.995156629,0.064597519,0.023392852,-0.19426754,0.237683908,0.356588028,0,1
17588,0.088156991,0.003065112,0.995644911,0.095115098,-0.09867746,-0.102714806,0.237683908,0.356588028,0,1
17593,0.090598397,0.004529955,0.995644911,0.125632676,-0.037642304,-0.041679649,0.237683908,0.356588028,0,1
17598,0.088156991,0.003065112,0.996133192,0.095115098,-0.037642304,0.019355507,0.227117198,0.356588028,0,1
17603,0.088156991,0.005994799,0.997598036,0.034079941,0.023392852,-0.041679649,0.227117198,0.356588028,0,1
17608,0.088645272,0.007459643,0.998086317,0.034079941,0.05391043,0.049873085,0.227117198,0.356588028,0,1
17613,0.086692147,0.00648308,0.994668348,0.003562363,0.023392852,-0.102714806,0.227117198,0.356588028,0,1
17618,0.084739022,0.004529955,0.995156629,-0.057472793,0.023392852,0.019355507,0.227117198,0.356588028,0,1
17623,0.085227304,0.003553393,0.995644911,0.003562363,-0.007124726,0.019355507,0.227117198,0.356588028,0,1
17633,0.084250741,0.005018237,0.997598036,-0.118507949,-0.068159882,0.080390663,0.047444958,0.356588028,0,1
17638,0.084739022,0.004529955,0.999062879,-0.057472793,-0.037642304,0.110908241,0.047444958,0.356588028,0,1
17643,0.086203866,0.003065112,0.995156629,-0.057472793,0.023392852,0.019355507,0.047444958,0.356588028,0,1
17648,0.08766871,0.005018237,0.993203504,-0.087990371,-0.037642304,-0.041679649,0.047444958,0.356588028,0,1
17653,0.08766871,0.003065112,0.993691786,-0.179543106,-0.068159882,-0.072197228,0.047444958,0.356588028,0,1
17658,0.089133554,0.004041674,0.994668348,-0.118507949,-0.037642304,0.080390663,0.047444958,0.356588028,0,1
17664,0.089621835,0.001600268,0.996133192,-0.026955215,0.023392852,0.049873085,0.047444958,0.356588028,0,1
17669,0.090110116,0.000135424,0.995644911,-0.087990371,0.05391043,-0.011162071,0.047444958,0.356588028,0,1
17689,0.087180429,-0.00132942,1.000039442,-0.179543106,0.084428008,0.049873085,-0.227358202,0.356588028,0,1
17694,0.087180429,-0.001817701,0.995644911,-0.057472793,0.023392852,-0.011162071,-0.227358202,0.356588028,0,1
17699,0.087180429,-0.000841138,0.994180067,-0.026955215,-0.007124726,0.171943397,-0.227358202,0.356588028,0,1
17704,0.085227304,-0.00132942,0.995644911,-0.057472793,0.05391043,0.141425819,-0.256418562,0.356588028,0,1
17715,0.087180429,-0.000841138,0.995644911,-0.026955215,-0.037642304,0.232978554,-0.132234912,0.356588028,0,1
17720,0.08766871,-0.000352857,0.993691786,-0.026955215,-0.068159882,0.110908241,-0.132234912,0.356588028,0,1
17725,0.08766871,-0.00132942,0.994668348,0.003562363,-0.037642304,-0.011162071,-0.132234912,0.356588028,0,1
17730,0.08766871,-0.000352857,0.993203504,-0.026955215,0.114945586,0.019355507,-0.132234912,0.356588028,0,1
17735,0.089621835,-0.001817701,0.991738661,-0.087990371,0.084428008,0.049873085,-0.132234912,0.356588028,0,1
17740,0.090598397,-0.00132942,0.995644911,-0.057472793,0.023392852,-0.041679649,0.092359208,0.356588028,0,1
17745,0.090598397,-0.00132942,0.997598036,-0.026955215,0.05391043,0.019355507,-0.031824452,0.356588028,0,1
17750,0.089133554,-0.000352857,0.995644911,0.003562363,-0.068159882,-0.133232384,-0.031824452,0.356588028,0,1
17756,0.091086679,-0.002305982,0.997109754,0.034079941,-0.09867746,-0.163749962,-0.031824452,0.356588028,0,1
17761,0.08766871,-0.001817701,0.995156629,0.064597519,-0.068159882,-0.102714806,-0.031824452,0.356588028,0,1
17766,0.086203866,-0.002305982,1.002480848,0.064597519,-0.037642304,-0.041679649,-0.031824452,0.356588028,0,1
17771,0.089133554,-0.002305982,0.995644911,0.064597519,-0.007124726,-0.102714806,-0.031824452,0.356588028,0,1
17778,0.089133554,-0.000841138,0.997598036,0.003562363,-0.09867746,-0.072197228,0.192769668,0.356588028,0,1
17783,0.086692147,-0.000352857,0.998086317,0.034079941,-0.09867746,-0.041679649,0.192769668,0.356588028,0,1
17788,0.088645272,0.003065112,0.996133192,0.095115098,-0.09867746,-0.072197228,0.192769668,0.356588028,0,1
17793,0.087180429,0.00257683,0.996133192,0.064597519,-0.159712617,-0.041679649,0.192769668,0.356588028,0,1
17813,0.088645272,0.00257683,0.995156629,0.034079941,-0.09867746,-0.133232384,0.364514968,0.364514968,0,1
17818,0.090598397,0.005506518,0.996133192,0.064597519,-0.068159882,-0.255302696,0.364514968,0.364514968,0,1
17823,0.089133554,0.004041674,0.998574598,0.125632676,-0.037642304,-0.163749962,0.364514968,0.364514968,0,1
17828,0.089621835,0.00257683,0.996133192,0.095115098,-0.037642304,-0.072197228,0.364514968,0.364514968,0,1
17836,0.08766871,0.005018237,0.997598036,0.095115098,0.023392852,-0.133232384,0.364514968,0.364514968,0,1
17841,0.08766871,0.005018237,0.997598036,0.003562363,-0.007124726,-0.163749962,0.364514968,0.364514968,0,1
17846,0.086692147,0.003553393,0.999062879,0.034079941,-0.007124726,-0.041679649,0.364514968,0.364514968,0,1
17851,0.087180429,0.004041674,0.997109754,0.125632676,0.023392852,-0.011162071,0.145208018,0.364514968,0,1
17866,0.087180429,0.005506518,0.995156629,-0.026955215,0.023392852,0.019355507,0.145208018,0.364514968,0,1
17871,0.087180429,0.006971362,0.996621473,-0.026955215,0.114945586,0.019355507,0.145208018,0.364514968,0,1
17876,0.085715585,0.00648308,0.997109754,0.003562363,0.05391043,0.110908241,0.145208018,0.364514968,0,1
17881,0.08766871,0.005506518,1.002480848,-0.057472793,-0.007124726,0.049873085,0.145208018,0.364514968,0,1
17887,0.087180429,0.00648308,1.001016004,-0.118507949,0.023392852,0.019355507,0.287885328,0.364514968,0,1
17892,0.088645272,0.005994799,1.001992567,-0.179543106,0.05391043,0.080390663,0.287885328,0.364514968,0,1
17897,0.089133554,0.005018237,0.999062879,-0.210060684,0.05391043,0.049873085,0.287885328,0.364514968,0,1
17902,0.089621835,0.003553393,0.996133192,-0.27109584,0.023392852,0.080390663,0.287885328,0.364514968,0,1
17907,0.08766871,0.005018237,0.995644911,-0.149025528,0.084428008,-0.011162071,0.287885328,0.364514968,0,1
